;Topology;Params;Number_Iterations;Number_Particles;C1;C2;W;Mean bests_Results;Best of Iterations
0;ALL;Number of interations: 50 C1: 0.1 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.3;0.10535397475530077;0.0035063203364527062
1;ALL;Number of interations: 50 C1: 0.1 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.5;0.10288410150261607;0.01690306432508537
2;ALL;Number of interations: 50 C1: 0.1 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.2;0.9;0.048353613153564456;0.020893641079308356
3;ALL;Number of interations: 50 C1: 0.1 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.3;0.43215785994615785;0.052459955625125065
4;ALL;Number of interations: 50 C1: 0.1 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.5;2.5685510464246165e-05;5.828938864915756e-07
5;ALL;Number of interations: 50 C1: 0.1 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.5;0.9;0.2785425857196082;0.1354902790926329
6;ALL;Number of interations: 50 C1: 0.1 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.3;0.2279151316931441;6.146592967937181e-08
7;ALL;Number of interations: 50 C1: 0.1 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.5;2.305384872247629e-06;5.427691971426896e-07
8;ALL;Number of interations: 50 C1: 0.1 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;0.8;0.9;1.3580312219748265;0.3313080134963866
9;ALL;Number of interations: 50 C1: 0.1 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.3;0.1646239108495995;1.5397534314232075e-07
10;ALL;Number of interations: 50 C1: 0.1 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.5;0.0009975920744918377;0.0006225824325984952
11;ALL;Number of interations: 50 C1: 0.1 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.1;2.0;0.9;4.941997622375152;3.38117272052741
12;ALL;Number of interations: 50 C1: 0.5 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.3;0.05092882209904106;0.010350373439181215
13;ALL;Number of interations: 50 C1: 0.5 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.5;0.2530679852526629;0.06779303921051794
14;ALL;Number of interations: 50 C1: 0.5 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.2;0.9;0.016742903673564503;0.009172971420256193
15;ALL;Number of interations: 50 C1: 0.5 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.3;0.3141747985903739;0.00484927715940886
16;ALL;Number of interations: 50 C1: 0.5 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.5;0.0018989582715819076;3.6805414582730123e-07
17;ALL;Number of interations: 50 C1: 0.5 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.5;0.9;0.04866845849193426;0.015699864652610973
18;ALL;Number of interations: 50 C1: 0.5 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.3;0.026552410058148457;2.0145072245902895e-06
19;ALL;Number of interations: 50 C1: 0.5 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.5;6.077108339219705e-07;3.4206914678591716e-07
20;ALL;Number of interations: 50 C1: 0.5 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;0.8;0.9;0.2263233842027735;0.10728186785985061
21;ALL;Number of interations: 50 C1: 0.5 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.3;7.408018427135233e-07;3.46861448452529e-07
22;ALL;Number of interations: 50 C1: 0.5 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.5;0.0003046557033749231;5.147524148485516e-05
23;ALL;Number of interations: 50 C1: 0.5 C2:2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.5;2.0;0.9;3.3932699740711394;2.3827672104042823
24;ALL;Number of interations: 50 C1: 0.7 C2:0.2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.3;0.10139269167996483;0.0026590434521911455
25;ALL;Number of interations: 50 C1: 0.7 C2:0.2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.5;0.22451999557926258;0.01289150269247985
26;ALL;Number of interations: 50 C1: 0.7 C2:0.2 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.2;0.9;0.017824536595304696;0.009130397363002363
27;ALL;Number of interations: 50 C1: 0.7 C2:0.5 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.3;0.14959345633677623;0.0006156372296541868
28;ALL;Number of interations: 50 C1: 0.7 C2:0.5 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.5;0.0002694170783386518;2.02137979687933e-07
29;ALL;Number of interations: 50 C1: 0.7 C2:0.5 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.5;0.9;0.050580269709576076;0.022310952674065465
30;ALL;Number of interations: 50 C1: 0.7 C2:0.8 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.3;0.03324060091121241;7.0205037339121645e-09
31;ALL;Number of interations: 50 C1: 0.7 C2:0.8 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.5;0.1646228605623034;2.719979126375449e-07
32;ALL;Number of interations: 50 C1: 0.7 C2:0.8 w:0.9 N_Particles:50 Topology:ALL;ALL;50;0.7;0.8;0.9;0.1400879828212081;0.07354267771549461
33;ALL;Number of interations: 50 C1: 0.7 C2:2 w:0.3 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.3;0.23168554998698285;1.8235682164302602e-07
34;ALL;Number of interations: 50 C1: 0.7 C2:2 w:0.5 N_Particles:50 Topology:ALL;ALL;50;0.7;2.0;0.5;0.00031934522757426365;7.781123116545885e-05
